split,model,precision,recall,f1,tp,fp,fn
val,rule,0.0,0.0,0.0,0,2235,1
val,spacy_sm,0.05030812324929408,0.9977777777755605,0.09578666657525421,449,8476,1
val,spacy_trf,0.06483971044466755,0.9984076433105121,0.12177121759762582,627,9043,1
test,rule,0.00045516613563930124,0.19999999996,0.0009082652089104859,1,2196,4
test,spacy_sm,0.06356911696716787,0.9927797833917098,0.11948729078410149,550,8102,4
test,spacy_trf,0.08438959306203198,0.9960629921246771,0.1555965558215172,759,8235,3
